,x,value
2,rt,38
41,de,17
44,en,9
39,el,6
96,que,5
30,abc,4
86,i,3
20,@bts_twt,2
70,진짜,2
61,해도,2
87,think,2
85,appear,2
58,괜찮다고,1
71,지켜줄거고,1
69,괜찮은데..,1
68,힘들다고,1
67,힘들면,1
66,아는데,1
65,다,1
55,https://t.co/f517voy9ci,1
64,속상한거,1
59,신경,1
63,상처이고,1
56,..맘,1
72,언제나,1
62,막상,1
57,아프다..,1
60,안쓴다고,1
0,@bozu_108,1
75,사랑해요,1
73,함께할거고,1
74,또,1
97,albert,1
95,instagram,1
94,confirma,1
93,embarazada:,1
92,"malú,",1
91,chicag…,1
90,then,1
89,enjoy.,1
88,peopl,1
84,guest,1
83,special,1
82,"nytimes,",1
81,"abc,",1
80,nyc,1
79,back,1
78,head,1
77,@andrewyang:,1
76,https://t.co/bz7yc2cey9,1
53,abcスープ派→クレパスがきれい。赤白帽のゴムがきれい。計画的に持ち物を持ち帰る。牛乳じゃんけん常勝。宿題は忘れない。,1
54,アルファベットスープ派→クレパスがいつも何色かない。赤白帽のゴムが延びきってる。長期休み前日はいつも大荷物。…,1
49,lui,1
52,quién…,1
13,#プレゼント,1
23,ร่วมลุ้นรางวัลจากงาน,1
22,พ.ย.,1
21,25,1
19,[🗓],1
18,@bts_thailand:,1
17,1️⃣@kameda_kakitan…,1
16,【応募方法】,1
15,応募締切は12月13日(金)16:59まで✨,1
14,🎁,1
12,抽選で合計30名様に,1
51,"zapatero,",1
11,をセットにして,1
10,#ウコンの力,1
9,と,1
8,#亀田の柿の種,1
7,＼,1
6,当たります🎯,1
5,フォロー＆リツイートで,1
4,／,1
3,@kameda_kakitane:,1
24,#ama,1
25,2019,1
26,เวลา,1
27,08.00,1
50,rodriguez,1
1,abcからbを取ったらエーシー♪︎エーシー♪︎,1
48,jose,1
47,person,1
46,amiguito,1
45,"méxico,",1
43,fugado,1
42,"bolivia,",1
40,narcoexpresident,1
38,"morales,",1
37,evo,1
36,@orbitaeduardo:,1
35,to…,1
34,ได้แก่,1
33,รางวัล,1
32,3,1
31,เข้าชิง,1
29,ทางช่อง,1
28,น.(ไทย),1
98,rivera,1
