,x,value
0,rt,20
40,@libyaliberty:,12
42,https://t.co/s4jukjnozp,12
41,horrible.,12
46,que,7
57,la,4
97,bigger,3
96,it,3
95,"nah,",3
94,@jamesokeefeiii:,3
77,del,3
66,en,3
59,se,3
98,fail,3
88,los,2
54,de,2
67,2018,1
75,nilsa,1
74,dgeec,1
73,"ojeda,",1
72,📌iván,1
71,turistas?,1
70,1.500.000,1
69,casi,1
68,detectaron,1
14,一言頂けたらフォロー致します；人；,1
6,@msnbc,1
7,@npr,1
65,🚌¿sabía,1
64,fem…,1
63,manifestacion,1
62,grand,1
61,hacer,1
60,van,1
8,@abc,1
76,"sosa,",1
78,observator…,1
9,@cbsnew,1
79,https://t.co/cp22nyaz6f,1
2,keep,1
3,mind,1
4,@cnn,1
5,@meetthepress,1
93,https://t.co/wsg1wkiug3,1
92,cons…,1
91,incorrectament,1
90,juraron,1
89,«batasunos»,1
87,echó,1
86,congreso,1
85,socialista,1
84,president,1
83,el,1
82,ser,1
81,debe,1
80,como,1
58,no,1
56,por,1
15,monkey-se,1
34,upon,1
32,specif,1
31,"girls,",1
30,pakistani,1
29,*christian*,1
28,@pegobry:,1
27,https://t.co/3vfwwvjsci,1
26,pissi…,1
25,legislation…,1
24,contractor,1
23,independ,1
22,cali,1
21,law,1
20,look-a-lik,1
19,pass,1
18,nj,1
17,🐵.,1
16,monkey-do,1
33,prey,1
35,"""no",1
55,mujer,1
36,"one""",1
53,lista,1
52,larga,1
51,esa,1
50,engordar,1
1,@todays_pretty:,1
48,calvo,1
47,marta,1
10,@nbcnew,1
45,temo,1
44,me,1
43,@tabarniabcn:,1
11,https://t.co/0pkhqg9sgf,1
12,定期。janne・abcに加え、oral・邦rock・二次元・ファンアートと好きを全部まとめたアカウントに移行しました→bkw69tama,1
13,雑多でも迷惑でなければ、こちらでまた仲良くしてもらえたら嬉しいです…‼︎,1
39,https://t.co/lpad3uthnx,1
38,them.,1
37,miss,1
49,va,1
